y_true,y_pred,error,nprocs,POSIX_OPENS,LUSTRE_STRIPE_SIZE,LUSTRE_STRIPE_WIDTH,POSIX_FILENOS,POSIX_MEM_ALIGNMENT,POSIX_FILE_ALIGNMENT,POSIX_READS,POSIX_WRITES,POSIX_SEEKS,POSIX_STATS,POSIX_BYTES_READ,POSIX_BYTES_WRITTEN,POSIX_CONSEC_READS,POSIX_CONSEC_WRITES,POSIX_SEQ_READS,POSIX_SEQ_WRITES,POSIX_RW_SWITCHES,POSIX_MEM_NOT_ALIGNED,POSIX_FILE_NOT_ALIGNED,POSIX_SIZE_READ_0_100,POSIX_SIZE_READ_100_1K,POSIX_SIZE_READ_1K_10K,POSIX_SIZE_READ_100K_1M,POSIX_SIZE_WRITE_0_100,POSIX_SIZE_WRITE_100_1K,POSIX_SIZE_WRITE_1K_10K,POSIX_SIZE_WRITE_10K_100K,POSIX_SIZE_WRITE_100K_1M,POSIX_STRIDE1_STRIDE,POSIX_STRIDE2_STRIDE,POSIX_STRIDE3_STRIDE,POSIX_STRIDE4_STRIDE,POSIX_STRIDE1_COUNT,POSIX_STRIDE2_COUNT,POSIX_STRIDE3_COUNT,POSIX_STRIDE4_COUNT,POSIX_ACCESS1_ACCESS,POSIX_ACCESS2_ACCESS,POSIX_ACCESS3_ACCESS,POSIX_ACCESS4_ACCESS,POSIX_ACCESS1_COUNT,POSIX_ACCESS2_COUNT,POSIX_ACCESS3_COUNT,POSIX_ACCESS4_COUNT,gnn_emb_0,gnn_emb_1,gnn_emb_2,gnn_emb_3,gnn_emb_4,gnn_emb_5,gnn_emb_6,gnn_emb_7,gnn_emb_8,gnn_emb_9,gnn_emb_10,gnn_emb_11,gnn_emb_12,gnn_emb_13,gnn_emb_14,gnn_emb_15,gnn_emb_16,gnn_emb_17,gnn_emb_18,gnn_emb_19,gnn_emb_20,gnn_emb_21,gnn_emb_22,gnn_emb_23,gnn_emb_24,gnn_emb_25,gnn_emb_26,gnn_emb_27,gnn_emb_28,gnn_emb_29,gnn_emb_30,gnn_emb_31,gnn_emb_32,gnn_emb_33,gnn_emb_34,gnn_emb_35,gnn_emb_36,gnn_emb_37,gnn_emb_38,gnn_emb_39,gnn_emb_40,gnn_emb_41,gnn_emb_42,gnn_emb_43,gnn_emb_44,gnn_emb_45,gnn_emb_46,gnn_emb_47,gnn_emb_48,gnn_emb_49,gnn_emb_50,gnn_emb_51,gnn_emb_52,gnn_emb_53,gnn_emb_54,gnn_emb_55,gnn_emb_56,gnn_emb_57,gnn_emb_58,gnn_emb_59,gnn_emb_60,gnn_emb_61,gnn_emb_62,gnn_emb_63,test_id
5.594565392,6.209062991,0.6144976,0.001083937,0.001323742,0.000272403,0.000265652,0.003709435,0.001160834,0.000228226,-1.75E-05,9.05E-05,0.000315281,0.00155323,-0.008100999,-0.002427539,2.78E-05,0.000126601,2.39E-05,3.32E-05,7.22E-05,-3.79E-05,0.001074812,0.000425235,-0.000772678,-0.001445289,0.000213623,3.81E-05,5.33E-05,0.000143957,9.05E-05,-1.39E-05,1.02E-05,0.000107298,0.000100169,0.000156738,5.12E-05,0.000233706,4.79E-05,-1.69E-05,0.003323025,0.006709834,0.000285383,0.00021038,0.000440877,0.001099263,0.000329708,-0.000230158,0.000156247,4.41E-06,0.000667692,0.000103903,-6.59E-05,0.000705728,3.58E-05,4.16E-05,-7.39E-05,1.74E-05,-0.000887714,0.000534038,3.70E-05,-5.35E-06,0.000225516,0.000154816,-8.92E-06,6.39E-06,0.000157757,0.000174052,-0.000168953,0.002023041,0.002079035,-0.001837372,7.96E-05,-8.71E-05,-4.49E-05,-0.000609969,0.000389146,0.000553471,-0.000178357,0.000227931,4.79E-05,-1.05E-05,4.28E-06,0.000910137,0.002275392,-0.000858998,0.000740466,-1.38E-05,0.000329294,-5.81E-05,-6.19E-05,-0.000163389,6.20E-05,-6.76E-05,-0.000229619,0.000299007,1.01E-05,-0.000138506,-0.004714103,-0.000390912,7.47E-05,0.000142933,-3.54E-05,0.000765789,0.000190787,0.00014093,-0.000193413,0.000114388,3.95E-05,-0.011281973,-4.72E-05,-6.66E-06,test00815
6.143345833,6.209062991,0.065717159,0.001083937,0.001323742,0.000272403,0.000265652,0.003709435,0.001160834,0.000228226,-1.75E-05,9.05E-05,0.000315281,0.00155323,-0.008100999,-0.002427539,2.78E-05,0.000126601,2.39E-05,3.32E-05,7.22E-05,-3.79E-05,0.001074812,0.000425235,-0.000772678,-0.001445289,0.000213623,3.81E-05,5.33E-05,0.000143957,9.05E-05,-1.39E-05,1.02E-05,0.000107298,0.000100169,0.000156738,5.12E-05,0.000233706,4.79E-05,-1.69E-05,0.003323025,0.006709834,0.000285383,0.00021038,0.000440877,0.001099263,0.000329708,-0.000230158,0.000156247,4.41E-06,0.000667692,0.000103903,-6.59E-05,0.000705728,3.58E-05,4.16E-05,-7.39E-05,1.74E-05,-0.000887714,0.000534038,3.70E-05,-5.35E-06,0.000225516,0.000154816,-8.92E-06,6.39E-06,0.000157757,0.000174052,-0.000168953,0.002023041,0.002079035,-0.001837372,7.96E-05,-8.71E-05,-4.49E-05,-0.000609969,0.000389146,0.000553471,-0.000178357,0.000227931,4.79E-05,-1.05E-05,4.28E-06,0.000910137,0.002275392,-0.000858998,0.000740466,-1.38E-05,0.000329294,-5.81E-05,-6.19E-05,-0.000163389,6.20E-05,-6.76E-05,-0.000229619,0.000299007,1.01E-05,-0.000138506,-0.004714103,-0.000390912,7.47E-05,0.000142933,-3.54E-05,0.000765789,0.000190787,0.00014093,-0.000193413,0.000114388,3.95E-05,-0.011281973,-4.72E-05,-6.66E-06,test00814
6.35303545,6.209062991,-0.143972459,0.001083937,0.001323742,0.000272403,0.000265652,0.003709435,0.001160834,0.000228226,-1.75E-05,9.05E-05,0.000315281,0.00155323,-0.008100999,-0.002427539,2.78E-05,0.000126601,2.39E-05,3.32E-05,7.22E-05,-3.79E-05,0.001074812,0.000425235,-0.000772678,-0.001445289,0.000213623,3.81E-05,5.33E-05,0.000143957,9.05E-05,-1.39E-05,1.02E-05,0.000107298,0.000100169,0.000156738,5.12E-05,0.000233706,4.79E-05,-1.69E-05,0.003323025,0.006709834,0.000285383,0.00021038,0.000440877,0.001099263,0.000329708,-0.000230158,0.000156247,4.41E-06,0.000667692,0.000103903,-6.59E-05,0.000705728,3.58E-05,4.16E-05,-7.39E-05,1.74E-05,-0.000887714,0.000534038,3.70E-05,-5.35E-06,0.000225516,0.000154816,-8.92E-06,6.39E-06,0.000157757,0.000174052,-0.000168953,0.002023041,0.002079035,-0.001837372,7.96E-05,-8.71E-05,-4.49E-05,-0.000609969,0.000389146,0.000553471,-0.000178357,0.000227931,4.79E-05,-1.05E-05,4.28E-06,0.000910137,0.002275392,-0.000858998,0.000740466,-1.38E-05,0.000329294,-5.81E-05,-6.19E-05,-0.000163389,6.20E-05,-6.76E-05,-0.000229619,0.000299007,1.01E-05,-0.000138506,-0.004714103,-0.000390912,7.47E-05,0.000142933,-3.54E-05,0.000765789,0.000190787,0.00014093,-0.000193413,0.000114388,3.95E-05,-0.011281973,-4.72E-05,-6.66E-06,test00813
6.364583492,6.209062991,-0.155520501,0.001083937,0.001323742,0.000272403,0.000265652,0.003709435,0.001160834,0.000228226,-1.75E-05,9.05E-05,0.000315281,0.00155323,-0.008100999,-0.002427539,2.78E-05,0.000126601,2.39E-05,3.32E-05,7.22E-05,-3.79E-05,0.001074812,0.000425235,-0.000772678,-0.001445289,0.000213623,3.81E-05,5.33E-05,0.000143957,9.05E-05,-1.39E-05,1.02E-05,0.000107298,0.000100169,0.000156738,5.12E-05,0.000233706,4.79E-05,-1.69E-05,0.003323025,0.006709834,0.000285383,0.00021038,0.000440877,0.001099263,0.000329708,-0.000230158,0.000156247,4.41E-06,0.000667692,0.000103903,-6.59E-05,0.000705728,3.58E-05,4.16E-05,-7.39E-05,1.74E-05,-0.000887714,0.000534038,3.70E-05,-5.35E-06,0.000225516,0.000154816,-8.92E-06,6.39E-06,0.000157757,0.000174052,-0.000168953,0.002023041,0.002079035,-0.001837372,7.96E-05,-8.71E-05,-4.49E-05,-0.000609969,0.000389146,0.000553471,-0.000178357,0.000227931,4.79E-05,-1.05E-05,4.28E-06,0.000910137,0.002275392,-0.000858998,0.000740466,-1.38E-05,0.000329294,-5.81E-05,-6.19E-05,-0.000163389,6.20E-05,-6.76E-05,-0.000229619,0.000299007,1.01E-05,-0.000138506,-0.004714103,-0.000390912,7.47E-05,0.000142933,-3.54E-05,0.000765789,0.000190787,0.00014093,-0.000193413,0.000114388,3.95E-05,-0.011281973,-4.72E-05,-6.66E-06,test00812
6.297091961,6.209062991,-0.088028969,0.001083937,0.001323742,0.000272403,0.000265652,0.003709435,0.001160834,0.000228226,-1.75E-05,9.05E-05,0.000315281,0.00155323,-0.008100999,-0.002427539,2.78E-05,0.000126601,2.39E-05,3.32E-05,7.22E-05,-3.79E-05,0.001074812,0.000425235,-0.000772678,-0.001445289,0.000213623,3.81E-05,5.33E-05,0.000143957,9.05E-05,-1.39E-05,1.02E-05,0.000107298,0.000100169,0.000156738,5.12E-05,0.000233706,4.79E-05,-1.69E-05,0.003323025,0.006709834,0.000285383,0.00021038,0.000440877,0.001099263,0.000329708,-0.000230158,0.000156247,4.41E-06,0.000667692,0.000103903,-6.59E-05,0.000705728,3.58E-05,4.16E-05,-7.39E-05,1.74E-05,-0.000887714,0.000534038,3.70E-05,-5.35E-06,0.000225516,0.000154816,-8.92E-06,6.39E-06,0.000157757,0.000174052,-0.000168953,0.002023041,0.002079035,-0.001837372,7.96E-05,-8.71E-05,-4.49E-05,-0.000609969,0.000389146,0.000553471,-0.000178357,0.000227931,4.79E-05,-1.05E-05,4.28E-06,0.000910137,0.002275392,-0.000858998,0.000740466,-1.38E-05,0.000329294,-5.81E-05,-6.19E-05,-0.000163389,6.20E-05,-6.76E-05,-0.000229619,0.000299007,1.01E-05,-0.000138506,-0.004714103,-0.000390912,7.47E-05,0.000142933,-3.54E-05,0.000765789,0.000190787,0.00014093,-0.000193413,0.000114388,3.95E-05,-0.011281973,-4.72E-05,-6.66E-06,test00811
6.328005314,6.209062991,-0.118942322,0.001083937,0.001323742,0.000272403,0.000265652,0.003709435,0.001160834,0.000228226,-1.75E-05,9.05E-05,0.000315281,0.00155323,-0.008100999,-0.002427539,2.78E-05,0.000126601,2.39E-05,3.32E-05,7.22E-05,-3.79E-05,0.001074812,0.000425235,-0.000772678,-0.001445289,0.000213623,3.81E-05,5.33E-05,0.000143957,9.05E-05,-1.39E-05,1.02E-05,0.000107298,0.000100169,0.000156738,5.12E-05,0.000233706,4.79E-05,-1.69E-05,0.003323025,0.006709834,0.000285383,0.00021038,0.000440877,0.001099263,0.000329708,-0.000230158,0.000156247,4.41E-06,0.000667692,0.000103903,-6.59E-05,0.000705728,3.58E-05,4.16E-05,-7.39E-05,1.74E-05,-0.000887714,0.000534038,3.70E-05,-5.35E-06,0.000225516,0.000154816,-8.92E-06,6.39E-06,0.000157757,0.000174052,-0.000168953,0.002023041,0.002079035,-0.001837372,7.96E-05,-8.71E-05,-4.49E-05,-0.000609969,0.000389146,0.000553471,-0.000178357,0.000227931,4.79E-05,-1.05E-05,4.28E-06,0.000910137,0.002275392,-0.000858998,0.000740466,-1.38E-05,0.000329294,-5.81E-05,-6.19E-05,-0.000163389,6.20E-05,-6.76E-05,-0.000229619,0.000299007,1.01E-05,-0.000138506,-0.004714103,-0.000390912,7.47E-05,0.000142933,-3.54E-05,0.000765789,0.000190787,0.00014093,-0.000193413,0.000114388,3.95E-05,-0.011281973,-4.72E-05,-6.66E-06,test00810
6.325440407,6.209062991,-0.116377415,0.001083937,0.001323742,0.000272403,0.000265652,0.003709435,0.001160834,0.000228226,-1.75E-05,9.05E-05,0.000315281,0.00155323,-0.008100999,-0.002427539,2.78E-05,0.000126601,2.39E-05,3.32E-05,7.22E-05,-3.79E-05,0.001074812,0.000425235,-0.000772678,-0.001445289,0.000213623,3.81E-05,5.33E-05,0.000143957,9.05E-05,-1.39E-05,1.02E-05,0.000107298,0.000100169,0.000156738,5.12E-05,0.000233706,4.79E-05,-1.69E-05,0.003323025,0.006709834,0.000285383,0.00021038,0.000440877,0.001099263,0.000329708,-0.000230158,0.000156247,4.41E-06,0.000667692,0.000103903,-6.59E-05,0.000705728,3.58E-05,4.16E-05,-7.39E-05,1.74E-05,-0.000887714,0.000534038,3.70E-05,-5.35E-06,0.000225516,0.000154816,-8.92E-06,6.39E-06,0.000157757,0.000174052,-0.000168953,0.002023041,0.002079035,-0.001837372,7.96E-05,-8.71E-05,-4.49E-05,-0.000609969,0.000389146,0.000553471,-0.000178357,0.000227931,4.79E-05,-1.05E-05,4.28E-06,0.000910137,0.002275392,-0.000858998,0.000740466,-1.38E-05,0.000329294,-5.81E-05,-6.19E-05,-0.000163389,6.20E-05,-6.76E-05,-0.000229619,0.000299007,1.01E-05,-0.000138506,-0.004714103,-0.000390912,7.47E-05,0.000142933,-3.54E-05,0.000765789,0.000190787,0.00014093,-0.000193413,0.000114388,3.95E-05,-0.011281973,-4.72E-05,-6.66E-06,test00809
5.523246288,6.209062991,0.685816703,0.001083937,0.001323742,0.000272403,0.000265652,0.003709435,0.001160834,0.000228226,-1.75E-05,9.05E-05,0.000315281,0.00155323,-0.008100999,-0.002427539,2.78E-05,0.000126601,2.39E-05,3.32E-05,7.22E-05,-3.79E-05,0.001074812,0.000425235,-0.000772678,-0.001445289,0.000213623,3.81E-05,5.33E-05,0.000143957,9.05E-05,-1.39E-05,1.02E-05,0.000107298,0.000100169,0.000156738,5.12E-05,0.000233706,4.79E-05,-1.69E-05,0.003323025,0.006709834,0.000285383,0.00021038,0.000440877,0.001099263,0.000329708,-0.000230158,0.000156247,4.41E-06,0.000667692,0.000103903,-6.59E-05,0.000705728,3.58E-05,4.16E-05,-7.39E-05,1.74E-05,-0.000887714,0.000534038,3.70E-05,-5.35E-06,0.000225516,0.000154816,-8.92E-06,6.39E-06,0.000157757,0.000174052,-0.000168953,0.002023041,0.002079035,-0.001837372,7.96E-05,-8.71E-05,-4.49E-05,-0.000609969,0.000389146,0.000553471,-0.000178357,0.000227931,4.79E-05,-1.05E-05,4.28E-06,0.000910137,0.002275392,-0.000858998,0.000740466,-1.38E-05,0.000329294,-5.81E-05,-6.19E-05,-0.000163389,6.20E-05,-6.76E-05,-0.000229619,0.000299007,1.01E-05,-0.000138506,-0.004714103,-0.000390912,7.47E-05,0.000142933,-3.54E-05,0.000765789,0.000190787,0.00014093,-0.000193413,0.000114388,3.95E-05,-0.011281973,-4.72E-05,-6.66E-06,test00808
6.33865881,6.209062991,-0.129595818,0.001083937,0.001323742,0.000272403,0.000265652,0.003709435,0.001160834,0.000228226,-1.75E-05,9.05E-05,0.000315281,0.00155323,-0.008100999,-0.002427539,2.78E-05,0.000126601,2.39E-05,3.32E-05,7.22E-05,-3.79E-05,0.001074812,0.000425235,-0.000772678,-0.001445289,0.000213623,3.81E-05,5.33E-05,0.000143957,9.05E-05,-1.39E-05,1.02E-05,0.000107298,0.000100169,0.000156738,5.12E-05,0.000233706,4.79E-05,-1.69E-05,0.003323025,0.006709834,0.000285383,0.00021038,0.000440877,0.001099263,0.000329708,-0.000230158,0.000156247,4.41E-06,0.000667692,0.000103903,-6.59E-05,0.000705728,3.58E-05,4.16E-05,-7.39E-05,1.74E-05,-0.000887714,0.000534038,3.70E-05,-5.35E-06,0.000225516,0.000154816,-8.92E-06,6.39E-06,0.000157757,0.000174052,-0.000168953,0.002023041,0.002079035,-0.001837372,7.96E-05,-8.71E-05,-4.49E-05,-0.000609969,0.000389146,0.000553471,-0.000178357,0.000227931,4.79E-05,-1.05E-05,4.28E-06,0.000910137,0.002275392,-0.000858998,0.000740466,-1.38E-05,0.000329294,-5.81E-05,-6.19E-05,-0.000163389,6.20E-05,-6.76E-05,-0.000229619,0.000299007,1.01E-05,-0.000138506,-0.004714103,-0.000390912,7.47E-05,0.000142933,-3.54E-05,0.000765789,0.000190787,0.00014093,-0.000193413,0.000114388,3.95E-05,-0.011281973,-4.72E-05,-6.66E-06,test00807
6.373540878,6.209062991,-0.164477887,0.001083937,0.001323742,0.000272403,0.000265652,0.003709435,0.001160834,0.000228226,-1.75E-05,9.05E-05,0.000315281,0.00155323,-0.008100999,-0.002427539,2.78E-05,0.000126601,2.39E-05,3.32E-05,7.22E-05,-3.79E-05,0.001074812,0.000425235,-0.000772678,-0.001445289,0.000213623,3.81E-05,5.33E-05,0.000143957,9.05E-05,-1.39E-05,1.02E-05,0.000107298,0.000100169,0.000156738,5.12E-05,0.000233706,4.79E-05,-1.69E-05,0.003323025,0.006709834,0.000285383,0.00021038,0.000440877,0.001099263,0.000329708,-0.000230158,0.000156247,4.41E-06,0.000667692,0.000103903,-6.59E-05,0.000705728,3.58E-05,4.16E-05,-7.39E-05,1.74E-05,-0.000887714,0.000534038,3.70E-05,-5.35E-06,0.000225516,0.000154816,-8.92E-06,6.39E-06,0.000157757,0.000174052,-0.000168953,0.002023041,0.002079035,-0.001837372,7.96E-05,-8.71E-05,-4.49E-05,-0.000609969,0.000389146,0.000553471,-0.000178357,0.000227931,4.79E-05,-1.05E-05,4.28E-06,0.000910137,0.002275392,-0.000858998,0.000740466,-1.38E-05,0.000329294,-5.81E-05,-6.19E-05,-0.000163389,6.20E-05,-6.76E-05,-0.000229619,0.000299007,1.01E-05,-0.000138506,-0.004714103,-0.000390912,7.47E-05,0.000142933,-3.54E-05,0.000765789,0.000190787,0.00014093,-0.000193413,0.000114388,3.95E-05,-0.011281973,-4.72E-05,-6.66E-06,test00806
6.354621887,6.209062991,-0.145558896,0.001083937,0.001323742,0.000272403,0.000265652,0.003709435,0.001160834,0.000228226,-1.75E-05,9.05E-05,0.000315281,0.00155323,-0.008100999,-0.002427539,2.78E-05,0.000126601,2.39E-05,3.32E-05,7.22E-05,-3.79E-05,0.001074812,0.000425235,-0.000772678,-0.001445289,0.000213623,3.81E-05,5.33E-05,0.000143957,9.05E-05,-1.39E-05,1.02E-05,0.000107298,0.000100169,0.000156738,5.12E-05,0.000233706,4.79E-05,-1.69E-05,0.003323025,0.006709834,0.000285383,0.00021038,0.000440877,0.001099263,0.000329708,-0.000230158,0.000156247,4.41E-06,0.000667692,0.000103903,-6.59E-05,0.000705728,3.58E-05,4.16E-05,-7.39E-05,1.74E-05,-0.000887714,0.000534038,3.70E-05,-5.35E-06,0.000225516,0.000154816,-8.92E-06,6.39E-06,0.000157757,0.000174052,-0.000168953,0.002023041,0.002079035,-0.001837372,7.96E-05,-8.71E-05,-4.49E-05,-0.000609969,0.000389146,0.000553471,-0.000178357,0.000227931,4.79E-05,-1.05E-05,4.28E-06,0.000910137,0.002275392,-0.000858998,0.000740466,-1.38E-05,0.000329294,-5.81E-05,-6.19E-05,-0.000163389,6.20E-05,-6.76E-05,-0.000229619,0.000299007,1.01E-05,-0.000138506,-0.004714103,-0.000390912,7.47E-05,0.000142933,-3.54E-05,0.000765789,0.000190787,0.00014093,-0.000193413,0.000114388,3.95E-05,-0.011281973,-4.72E-05,-6.66E-06,test00805
6.337934971,6.209062991,-0.128871979,0.001083937,0.001323742,0.000272403,0.000265652,0.003709435,0.001160834,0.000228226,-1.75E-05,9.05E-05,0.000315281,0.00155323,-0.008100999,-0.002427539,2.78E-05,0.000126601,2.39E-05,3.32E-05,7.22E-05,-3.79E-05,0.001074812,0.000425235,-0.000772678,-0.001445289,0.000213623,3.81E-05,5.33E-05,0.000143957,9.05E-05,-1.39E-05,1.02E-05,0.000107298,0.000100169,0.000156738,5.12E-05,0.000233706,4.79E-05,-1.69E-05,0.003323025,0.006709834,0.000285383,0.00021038,0.000440877,0.001099263,0.000329708,-0.000230158,0.000156247,4.41E-06,0.000667692,0.000103903,-6.59E-05,0.000705728,3.58E-05,4.16E-05,-7.39E-05,1.74E-05,-0.000887714,0.000534038,3.70E-05,-5.35E-06,0.000225516,0.000154816,-8.92E-06,6.39E-06,0.000157757,0.000174052,-0.000168953,0.002023041,0.002079035,-0.001837372,7.96E-05,-8.71E-05,-4.49E-05,-0.000609969,0.000389146,0.000553471,-0.000178357,0.000227931,4.79E-05,-1.05E-05,4.28E-06,0.000910137,0.002275392,-0.000858998,0.000740466,-1.38E-05,0.000329294,-5.81E-05,-6.19E-05,-0.000163389,6.20E-05,-6.76E-05,-0.000229619,0.000299007,1.01E-05,-0.000138506,-0.004714103,-0.000390912,7.47E-05,0.000142933,-3.54E-05,0.000765789,0.000190787,0.00014093,-0.000193413,0.000114388,3.95E-05,-0.011281973,-4.72E-05,-6.66E-06,test00804
6.282841682,6.209062991,-0.073778691,0.001083937,0.001323742,0.000272403,0.000265652,0.003709435,0.001160834,0.000228226,-1.75E-05,9.05E-05,0.000315281,0.00155323,-0.008100999,-0.002427539,2.78E-05,0.000126601,2.39E-05,3.32E-05,7.22E-05,-3.79E-05,0.001074812,0.000425235,-0.000772678,-0.001445289,0.000213623,3.81E-05,5.33E-05,0.000143957,9.05E-05,-1.39E-05,1.02E-05,0.000107298,0.000100169,0.000156738,5.12E-05,0.000233706,4.79E-05,-1.69E-05,0.003323025,0.006709834,0.000285383,0.00021038,0.000440877,0.001099263,0.000329708,-0.000230158,0.000156247,4.41E-06,0.000667692,0.000103903,-6.59E-05,0.000705728,3.58E-05,4.16E-05,-7.39E-05,1.74E-05,-0.000887714,0.000534038,3.70E-05,-5.35E-06,0.000225516,0.000154816,-8.92E-06,6.39E-06,0.000157757,0.000174052,-0.000168953,0.002023041,0.002079035,-0.001837372,7.96E-05,-8.71E-05,-4.49E-05,-0.000609969,0.000389146,0.000553471,-0.000178357,0.000227931,4.79E-05,-1.05E-05,4.28E-06,0.000910137,0.002275392,-0.000858998,0.000740466,-1.38E-05,0.000329294,-5.81E-05,-6.19E-05,-0.000163389,6.20E-05,-6.76E-05,-0.000229619,0.000299007,1.01E-05,-0.000138506,-0.004714103,-0.000390912,7.47E-05,0.000142933,-3.54E-05,0.000765789,0.000190787,0.00014093,-0.000193413,0.000114388,3.95E-05,-0.011281973,-4.72E-05,-6.66E-06,test00803
6.338180065,6.209062991,-0.129117074,0.001083937,0.001323742,0.000272403,0.000265652,0.003709435,0.001160834,0.000228226,-1.75E-05,9.05E-05,0.000315281,0.00155323,-0.008100999,-0.002427539,2.78E-05,0.000126601,2.39E-05,3.32E-05,7.22E-05,-3.79E-05,0.001074812,0.000425235,-0.000772678,-0.001445289,0.000213623,3.81E-05,5.33E-05,0.000143957,9.05E-05,-1.39E-05,1.02E-05,0.000107298,0.000100169,0.000156738,5.12E-05,0.000233706,4.79E-05,-1.69E-05,0.003323025,0.006709834,0.000285383,0.00021038,0.000440877,0.001099263,0.000329708,-0.000230158,0.000156247,4.41E-06,0.000667692,0.000103903,-6.59E-05,0.000705728,3.58E-05,4.16E-05,-7.39E-05,1.74E-05,-0.000887714,0.000534038,3.70E-05,-5.35E-06,0.000225516,0.000154816,-8.92E-06,6.39E-06,0.000157757,0.000174052,-0.000168953,0.002023041,0.002079035,-0.001837372,7.96E-05,-8.71E-05,-4.49E-05,-0.000609969,0.000389146,0.000553471,-0.000178357,0.000227931,4.79E-05,-1.05E-05,4.28E-06,0.000910137,0.002275392,-0.000858998,0.000740466,-1.38E-05,0.000329294,-5.81E-05,-6.19E-05,-0.000163389,6.20E-05,-6.76E-05,-0.000229619,0.000299007,1.01E-05,-0.000138506,-0.004714103,-0.000390912,7.47E-05,0.000142933,-3.54E-05,0.000765789,0.000190787,0.00014093,-0.000193413,0.000114388,3.95E-05,-0.011281973,-4.72E-05,-6.66E-06,test00802
6.338419437,6.209062991,-0.129356446,0.001083937,0.001323742,0.000272403,0.000265652,0.003709435,0.001160834,0.000228226,-1.75E-05,9.05E-05,0.000315281,0.00155323,-0.008100999,-0.002427539,2.78E-05,0.000126601,2.39E-05,3.32E-05,7.22E-05,-3.79E-05,0.001074812,0.000425235,-0.000772678,-0.001445289,0.000213623,3.81E-05,5.33E-05,0.000143957,9.05E-05,-1.39E-05,1.02E-05,0.000107298,0.000100169,0.000156738,5.12E-05,0.000233706,4.79E-05,-1.69E-05,0.003323025,0.006709834,0.000285383,0.00021038,0.000440877,0.001099263,0.000329708,-0.000230158,0.000156247,4.41E-06,0.000667692,0.000103903,-6.59E-05,0.000705728,3.58E-05,4.16E-05,-7.39E-05,1.74E-05,-0.000887714,0.000534038,3.70E-05,-5.35E-06,0.000225516,0.000154816,-8.92E-06,6.39E-06,0.000157757,0.000174052,-0.000168953,0.002023041,0.002079035,-0.001837372,7.96E-05,-8.71E-05,-4.49E-05,-0.000609969,0.000389146,0.000553471,-0.000178357,0.000227931,4.79E-05,-1.05E-05,4.28E-06,0.000910137,0.002275392,-0.000858998,0.000740466,-1.38E-05,0.000329294,-5.81E-05,-6.19E-05,-0.000163389,6.20E-05,-6.76E-05,-0.000229619,0.000299007,1.01E-05,-0.000138506,-0.004714103,-0.000390912,7.47E-05,0.000142933,-3.54E-05,0.000765789,0.000190787,0.00014093,-0.000193413,0.000114388,3.95E-05,-0.011281973,-4.72E-05,-6.66E-06,test00801
5.995626926,6.209062991,0.213436065,0.001083937,0.001323742,0.000272403,0.000265652,0.003709435,0.001160834,0.000228226,-1.75E-05,9.05E-05,0.000315281,0.00155323,-0.008100999,-0.002427539,2.78E-05,0.000126601,2.39E-05,3.32E-05,7.22E-05,-3.79E-05,0.001074812,0.000425235,-0.000772678,-0.001445289,0.000213623,3.81E-05,5.33E-05,0.000143957,9.05E-05,-1.39E-05,1.02E-05,0.000107298,0.000100169,0.000156738,5.12E-05,0.000233706,4.79E-05,-1.69E-05,0.003323025,0.006709834,0.000285383,0.00021038,0.000440877,0.001099263,0.000329708,-0.000230158,0.000156247,4.41E-06,0.000667692,0.000103903,-6.59E-05,0.000705728,3.58E-05,4.16E-05,-7.39E-05,1.74E-05,-0.000887714,0.000534038,3.70E-05,-5.35E-06,0.000225516,0.000154816,-8.92E-06,6.39E-06,0.000157757,0.000174052,-0.000168953,0.002023041,0.002079035,-0.001837372,7.96E-05,-8.71E-05,-4.49E-05,-0.000609969,0.000389146,0.000553471,-0.000178357,0.000227931,4.79E-05,-1.05E-05,4.28E-06,0.000910137,0.002275392,-0.000858998,0.000740466,-1.38E-05,0.000329294,-5.81E-05,-6.19E-05,-0.000163389,6.20E-05,-6.76E-05,-0.000229619,0.000299007,1.01E-05,-0.000138506,-0.004714103,-0.000390912,7.47E-05,0.000142933,-3.54E-05,0.000765789,0.000190787,0.00014093,-0.000193413,0.000114388,3.95E-05,-0.011281973,-4.72E-05,-6.66E-06,test00832
